StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Consent,Age,Gender,Gender_3_TEXT,Race,Race_8_TEXT,Education,Party,Party_8_TEXT,PartyRep,PartyDem,PartyLean,PO,POLib,POCon,POLean,Voter1Dem,Voter1Sup,Voter1Fair,Voter1GovParty,Voter1Party,Election1Dem,Election1Sup,Election1Fair,Election1GovParty,Election1Party,ATTN,Compromise1Dem,Compromise1Sup,Compromise1Fair,Compromis1GovParty,Compromise1Party,ImportanceRank_1,ImportanceRank_2,ImportanceRank_3,ImportanceRank_4,ImportanceRank_5,ImportanceRank_6,ImportanceRank_7,ImportanceRank_8,ImportanceRank_9,ImportanceRank_10,ImportanceRank_DO,MC_MIP,MC_LIP,MC_Environment,MC_Abortion,MC_Unemployment,MC_Immigration,MC_Healthcare,MC_Education,MC_Gun,MC_Trade,MC_Inflation,MC_Democracy,FeelingTherm_1,FeelingTherm_2,Meta_Ingroup _1,Meta_Ingroup _2,Meta_Ingroup _3,Meta_Ingroup _4,Meta_Ingroup _5,Meta_Ingroup _DO,Meta_Outgroup _1,Meta_Outgroup _2,Meta_Outgroup _3,Meta_Outgroup _4,Meta_Outgroup _5,Meta_Outgroup _DO,Any_Else,BotCheck,Party,Inparty,Outparty,Group,VLoser,EWinner,CompromiseGov,CompromiseLeg,First,mip,lip,FL_77_DO,FL_83_DO,FL_107_DO,FL_73_DO,FL_112_DO,FL_120_DO,FL_115_DO,Voter1_DO,Election1_DO,Compromise1_DO,MOP_DO,MoralizedIdentity_DO
1/11/24 10:34,1/11/24 10:38,0,100,244,1,1/11/24 10:38,1,1,49,2,,1,,3,2,,,-4,,1,-4,,,-2,-3,-3,1,1,0,-3,-3,0,-1,3,-3,-3,-3,1,1,5,6,7,10,3,2,4,8,9,1,3|7|9|6|2|10|5|8|4|1,4,2,,,,,,,,1,0,,91,1,5,4,4,5,4,2|4|5|3|1,5,3,2,3,3,4|5|3|1|2,,Fight Club,Democrat,Democrat,Republican,4,Democrat,Democrat,,,MOP,Democracy,Illegal immigration,,FL_87,FL_108,,,FL_121|MoralizedIdentity,Compromise1|Election1|Voter1,Voter1|Voter1Fair|Voter1Party|Voter1Sup|Voter1GovParty|Voter1Dem,Election1|Election1Party|Election1Sup|ATTN|Election1Dem|Election1GovParty|Election1Fair,Compromise1N|Compromise1Sup|Compromise1Fair|Compromis1GovParty|Compromise1Dem|Compromise1Party,MC_Inflation|MC_MIP|MC_Trade|MC_LIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
1/11/24 10:35,1/11/24 10:39,0,100,207,1,1/11/24 10:39,1,1,30,2,,1,,5,2,,,-4,,1,-4,,,-3,-3,-3,-1,-1,-3,-3,-3,-1,-1,3,0,0,-3,1,1,9,2,3,7,1,8,5,10,4,6,7|4|10|9|6|5|1|3|8|2,3,4,,,,0,,,,,3,,100,0,5,5,5,5,5,3|1|5|2|4,5,5,5,5,5,4|1|3|5|2,,casino royale,Democrat,Democrat,Republican,5,,Democrat,Republican,Democrat,MOP,Health care,Free trade agreements,,FL_88,FL_108,,,MoralizedIdentity|FL_121,Election1|Voter1|Compromise1,Voter1N|Voter1Fair|Voter1Dem|Voter1Party|Voter1GovParty|Voter1Sup,Election1|Election1Sup|Election1Party|ATTN|Election1Fair|Election1GovParty|Election1Dem,Compromise1|Compromise1Party|Compromise1Fair|Compromis1GovParty|Compromise1Dem|Compromise1Sup,MC_Immigration|MC_MIP|MC_Inflation|MC_LIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
1/11/24 10:35,1/11/24 10:39,0,100,221,1,1/11/24 10:39,1,1,35,1,,1,,3,2,,,-4,,1,-4,,,-2,-3,-3,1,1,-3,-3,-3,1,1,3,0,0,2,-1,-1,2,6,10,9,3,4,5,7,8,1,1|4|2|8|5|10|9|6|7|3,4,4,,,,,,4,3,,,,62,1,5,5,5,4,4,2|5|3|4|1,5,5,5,5,5,1|2|4|3|5,,Fellowship of the Ring,Democrat,Democrat,Republican,6,,Republican,Democrat,Republican,Dem,Democracy,Unemployment,,FL_89,FL_109,Voter1|Compromise1|Election1,MoralizedIdentity|FL_111,,,Voter1N|Voter1Fair|Voter1GovParty|Voter1Dem|Voter1Sup|Voter1Party,Election1|Election1Party|Election1Dem|ATTN|Election1Fair|Election1GovParty|Election1Sup,Compromise1|Compromise1Sup|Compromise1Fair|Compromise1Dem|Compromis1GovParty|Compromise1Party,MC_Gun|MC_LIP|MC_Education|MC_MIP,FeelingTherm|Meta_Outgroup |Meta_Ingroup 
1/11/24 10:35,1/11/24 10:39,0,100,246,1,1/11/24 10:39,0.899999976,1,63,1,,1,,5,2,,,-3,,1,-3,,,0,0,0,0,0,-3,-3,-3,-1,-1,0,-3,-3,0,1,1,10,2,9,6,7,4,5,8,3,1,7|4|8|2|9|10|3|5|6|1,2,2,,,,,2,,,2,,,49,6,3,3,3,3,3,5|1|3|4|2,3,3,3,3,3,4|1|2|5|3,no,lord of the rings,Democrat,Democrat,Republican,5,,Democrat,Republican,Democrat,Dem,Democracy,The environment,,FL_88,FL_109,Voter1|Election1|Compromise1,MoralizedIdentity|FL_111,,,Voter1N|Voter1Party|Voter1Dem|Voter1Sup|Voter1GovParty|Voter1Fair,Election1|Election1Dem|Election1Sup|ATTN|Election1Fair|Election1GovParty|Election1Party,Compromise1|Compromise1Sup|Compromis1GovParty|Compromise1Party|Compromise1Dem|Compromise1Fair,MC_Trade|MC_LIP|MC_Healthcare|MC_MIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
1/11/24 10:35,1/11/24 10:39,0,100,239,1,1/11/24 10:39,1,1,30,2,,2,,3,2,,,-4,,1,-4,,,0,0,1,0,0,-3,-3,-3,1,-1,3,0,-1,0,0,-1,10,7,6,9,3,4,2,8,5,1,5|2|10|8|9|4|1|3|6|7,4,4,,,4,,,4,,,,,100,9,5,5,5,5,5,4|2|5|1|3,1,1,1,1,1,3|2|5|4|1,no,horror,Democrat,Democrat,Republican,3,Democrat,,Democrat,Republican,MOP,Democracy,The environment,,FL_86,FL_108,,,FL_121|MoralizedIdentity,Election1|Compromise1|Voter1,Voter1|Voter1Party|Voter1Sup|Voter1Fair|Voter1Dem|Voter1GovParty,Election1N|Election1GovParty|Election1Dem|ATTN|Election1Party|Election1Sup|Election1Fair,Compromise1|Compromise1Party|Compromise1Sup|Compromis1GovParty|Compromise1Fair|Compromise1Dem,MC_Unemployment|MC_LIP|MC_Education|MC_MIP,FeelingTherm|Meta_Outgroup |Meta_Ingroup 
1/11/24 10:36,1/11/24 10:39,0,100,217,1,1/11/24 10:39,1,1,41,1,,1,,2,2,,,-4,,1,-4,,,2,1,3,-1,0,-2,-2,-2,1,1,3,1,-1,0,-1,0,7,9,6,8,1,5,4,10,2,3,8|10|2|3|5|1|4|7|9|6,4,1,,4,,,,,2,,,,35,0,2,1,1,5,5,5|2|3|4|1,3,1,1,5,5,1|2|3|5|4,,Shawshank Redemption,Democrat,Democrat,Republican,6,,Republican,Democrat,Republican,Dem,Health care,Free trade agreements,,FL_89,FL_109,Compromise1|Election1|Voter1,FL_111|MoralizedIdentity,,,Voter1N|Voter1GovParty|Voter1Sup|Voter1Party|Voter1Dem|Voter1Fair,Election1|Election1Fair|Election1Party|ATTN|Election1Sup|Election1GovParty|Election1Dem,Compromise1|Compromise1Sup|Compromise1Dem|Compromis1GovParty|Compromise1Fair|Compromise1Party,MC_Gun|MC_MIP|MC_Abortion|MC_LIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
1/11/24 10:35,1/11/24 10:40,0,100,322,1,1/11/24 10:40,1,1,59,2,,1,,5,2,,,-4,,1,-4,,,0,-3,0,0,0,-3,-3,-3,1,1,3,-3,-3,-3,1,1,6,4,9,7,3,5,2,8,10,1,1|5|8|3|2|9|10|7|6|4,4,4,,4,,,,4,,,,,100,1,5,5,5,5,4,3|1|2|5|4,1,1,1,1,1,2|1|4|5|3,na,Cinderella,Democrat,Democrat,Republican,1,Republican,Republican,,,MOP,Democracy,Inflation,,FL_84,FL_108,,,MoralizedIdentity|FL_121,Voter1|Compromise1|Election1,Voter1|Voter1Fair|Voter1Dem|Voter1Party|Voter1Sup|Voter1GovParty,Election1|Election1Dem|Election1Fair|ATTN|Election1Sup|Election1Party|Election1GovParty,Compromise1N|Compromis1GovParty|Compromise1Sup|Compromise1Dem|Compromise1Party|Compromise1Fair,MC_Abortion|MC_MIP|MC_Education|MC_LIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
1/11/24 10:37,1/11/24 10:40,0,100,224,1,1/11/24 10:40,0.899999976,1,44,1,,1,,4,2,,,-2,,3,,,-1,-2,-3,-3,1,1,-3,-3,-3,0,0,3,1,-2,-1,-1,0,3,5,6,10,4,8,9,7,1,2,1|3|7|2|8|10|5|9|6|4,2,1,,,,,,1,,,,2,55,30,2,2,1,1,1,3|1|2|4|5,3,1,1,2,3,3|5|1|4|2,,The Big Lebowski,Democrat,Democrat,Republican,3,Democrat,,Democrat,Republican,MOP,Inflation,Illegal immigration,,FL_86,FL_108,,,MoralizedIdentity|FL_121,Voter1|Compromise1|Election1,Voter1|Voter1GovParty|Voter1Fair|Voter1Dem|Voter1Party|Voter1Sup,Election1N|Election1Party|Election1Fair|ATTN|Election1Dem|Election1GovParty|Election1Sup,Compromise1|Compromis1GovParty|Compromise1Party|Compromise1Sup|Compromise1Fair|Compromise1Dem,MC_Education|MC_MIP|MC_Democracy|MC_LIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
1/11/24 10:36,1/11/24 10:41,0,100,310,1,1/11/24 10:41,0.899999976,1,23,2,,5,,6,2,,,-3,,1,-3,,,-3,-3,-3,1,1,-2,-3,-2,1,0,3,-2,-1,-3,-1,-1,7,4,5,6,1,3,9,8,2,10,4|6|7|8|10|5|9|2|1|3,1,1,2,,,,,4,,,,,39,2,3,3,3,2,3,1|2|4|3|5,3,3,3,3,3,2|1|3|5|4,no,Ferris Bueller's Day Off,Democrat,Democrat,Republican,3,Democrat,,Democrat,Republican,Dem,Health care,Democracy,,FL_86,FL_109,Compromise1|Election1|Voter1,MoralizedIdentity|FL_111,,,Voter1|Voter1Sup|Voter1GovParty|Voter1Fair|Voter1Party|Voter1Dem,Election1N|Election1Dem|Election1Sup|ATTN|Election1GovParty|Election1Party|Election1Fair,Compromise1|Compromise1Sup|Compromise1Fair|Compromise1Party|Compromise1Dem|Compromis1GovParty,MC_Education|MC_MIP|MC_Environment|MC_LIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
1/11/24 10:35,1/11/24 10:41,0,100,358,1,1/11/24 10:41,0.699999988,1,50,1,,1,,3,2,,,-3,,1,-3,,,-3,-3,-3,1,1,-3,-3,-3,0,0,3,0,0,0,-1,-1,7,6,4,10,3,5,9,8,2,1,9|1|10|7|2|3|5|4|6|8,4,1,,,,,,,4,,2,,100,0,5,5,5,5,5,3|4|2|5|1,1,1,1,1,1,3|2|5|1|4,Put on a smile and have a great day :D,Blazing Saddles,Democrat,Democrat,Republican,3,Democrat,,Democrat,Republican,Dem,Democracy,Illegal immigration,,FL_86,FL_109,Election1|Voter1|Compromise1,FL_111|MoralizedIdentity,,,Voter1|Voter1Fair|Voter1Sup|Voter1GovParty|Voter1Dem|Voter1Party,Election1N|Election1Party|Election1Fair|ATTN|Election1Sup|Election1GovParty|Election1Dem,Compromise1|Compromise1Party|Compromise1Sup|Compromise1Dem|Compromis1GovParty|Compromise1Fair,MC_Gun|MC_MIP|MC_Inflation|MC_LIP,FeelingTherm|Meta_Ingroup |Meta_Outgroup 
